tm_fc,tm_ef,ta_min,ta_max
202301160600,202301230000,-8.0,-2.0
202301160600,202301240000,-11.0,-5.0
202301160600,202301250000,-11.0,-3.0
202301160600,202301260000,-8.0,0.0
202301161800,202301190000,-6.0,3.0
202301161800,202301200000,-5.0,-1.0
202301161800,202301210000,-10.0,-2.0
202301161800,202301220000,-6.0,2.0
202301161800,202301230000,-7.0,-3.0
202301161800,202301240000,-12.0,-6.0
202301161800,202301250000,-11.0,-3.0
202301161800,202301260000,-8.0,0.0
202301170600,202301200000,-5.0,-1.0
202301170600,202301210000,-10.0,-2.0
202301170600,202301220000,-6.0,2.0
202301170600,202301230000,-7.0,-3.0
202301170600,202301240000,-12.0,-6.0
202301170600,202301250000,-12.0,-4.0
202301170600,202301260000,-7.0,0.0
202301170600,202301270000,-5.0,0.0
202301171800,202301200000,-4.0,-2.0
202301171800,202301210000,-11.0,-2.0
202301171800,202301220000,-5.0,1.0
202301171800,202301230000,-6.0,-2.0
202301171800,202301240000,-13.0,-7.0
202301171800,202301250000,-12.0,-4.0
202301171800,202301260000,-7.0,0.0
202301171800,202301270000,-7.0,-1.0
202301180600,202301210000,-10.0,-1.0
202301180600,202301220000,-5.0,3.0
202301180600,202301230000,-4.0,-1.0
202301180600,202301240000,-14.0,-8.0
202301180600,202301250000,-13.0,-5.0
202301180600,202301260000,-8.0,-1.0
202301180600,202301270000,-7.0,-2.0
202301180600,202301280000,-9.0,-1.0
202301181800,202301210000,-10.0,-1.0
202301181800,202301220000,-5.0,3.0
202301181800,202301230000,-4.0,-1.0
202301181800,202301240000,-16.0,-9.0
202301181800,202301250000,-15.0,-6.0
202301181800,202301260000,-10.0,-2.0
202301181800,202301270000,-8.0,-2.0
202301181800,202301280000,-10.0,-2.0
202301190600,202301220000,-4.0,2.0
202301190600,202301230000,-3.0,-1.0
202301190600,202301240000,-17.0,-10.0
202301190600,202301250000,-16.0,-6.0
202301190600,202301260000,-11.0,-3.0
202301190600,202301270000,-10.0,-3.0
202301190600,202301280000,-11.0,-2.0
202301190600,202301290000,-9.0,-1.0
